Community,hour,avg_per_hour
AL SATWA,10,0.12432432432432433
AL SATWA,11,0.11351351351351352
AL SATWA,12,0.13513513513513514
AL SATWA,13,0.14594594594594595
AL SATWA,14,0.15135135135135136
AL SATWA,15,0.10810810810810811
AL SATWA,16,0.17297297297297298
AL SATWA,17,0.1837837837837838
AL SATWA,18,0.15135135135135136
AL SATWA,19,0.17297297297297298
AL SATWA,20,0.16216216216216217
AL SATWA,21,0.23783783783783785
AL SATWA,22,0.17297297297297298
AL SATWA,23,0.16216216216216217
AL SELAL,0,0.021739130434782608
AL SELAL,2,0.043478260869565216
AL SELAL,3,0.06521739130434782
AL SELAL,4,0.021739130434782608
AL SELAL,6,0.06521739130434782
AL SELAL,7,0.06521739130434782
AL SELAL,8,0.06521739130434782
AL SELAL,9,0.10869565217391304
AL SELAL,10,0.043478260869565216
AL SELAL,11,0.043478260869565216
AL SELAL,12,0.06521739130434782
AL SELAL,13,0.021739130434782608
AL SELAL,14,0.13043478260869565
AL SELAL,15,0.06521739130434782
AL SELAL,16,0.021739130434782608
AL SELAL,17,0.021739130434782608
AL SELAL,18,0.08695652173913043
AL SELAL,19,0.021739130434782608
AL SELAL,20,0.10869565217391304
AL SELAL,22,0.021739130434782608
AL SHINDAGHA,0,0.11904761904761904
AL SHINDAGHA,1,0.047619047619047616
AL SHINDAGHA,2,0.023809523809523808
AL SHINDAGHA,3,0.047619047619047616
AL SHINDAGHA,4,0.047619047619047616
AL SHINDAGHA,6,0.047619047619047616
AL SHINDAGHA,7,0.047619047619047616
AL SHINDAGHA,8,0.047619047619047616
AL SHINDAGHA,9,0.07142857142857142
AL SHINDAGHA,10,0.07142857142857142
AL SHINDAGHA,11,0.07142857142857142
AL SHINDAGHA,12,0.023809523809523808
AL SHINDAGHA,13,0.047619047619047616
AL SHINDAGHA,14,0.07142857142857142
AL SHINDAGHA,15,0.07142857142857142
AL SHINDAGHA,16,0.023809523809523808
AL SHINDAGHA,17,0.047619047619047616
AL SHINDAGHA,18,0.047619047619047616
AL SHINDAGHA,20,0.19047619047619047
AL SHINDAGHA,21,0.047619047619047616
AL SHINDAGHA,22,0.07142857142857142
AL SHINDAGHA,23,0.047619047619047616
AL SOUQ AL KABEER,0,0.06306306306306306
AL SOUQ AL KABEER,1,0.036036036036036036
AL SOUQ AL KABEER,2,0.036036036036036036
AL SOUQ AL KABEER,3,0.036036036036036036
AL SOUQ AL KABEER,4,0.07207207207207207
AL SOUQ AL KABEER,5,0.018018018018018018
AL SOUQ AL KABEER,6,0.036036036036036036
AL SOUQ AL KABEER,7,0.009009009009009009
AL SOUQ AL KABEER,8,0.04504504504504504
AL SOUQ AL KABEER,9,0.07207207207207207
AL SOUQ AL KABEER,10,0.07207207207207207
AL SOUQ AL KABEER,11,0.07207207207207207
AL SOUQ AL KABEER,12,0.08108108108108109
AL SOUQ AL KABEER,13,0.14414414414414414
AL SOUQ AL KABEER,14,0.14414414414414414
AL SOUQ AL KABEER,15,0.05405405405405406
AL SOUQ AL KABEER,16,0.04504504504504504
AL SOUQ AL KABEER,17,0.11711711711711711
AL SOUQ AL KABEER,18,0.09009009009009009
AL SOUQ AL KABEER,19,0.10810810810810811
AL SOUQ AL KABEER,20,0.09009009009009009
AL SOUQ AL KABEER,21,0.11711711711711711
AL SOUQ AL KABEER,22,0.06306306306306306
AL SOUQ AL KABEER,23,0.07207207207207207
AL THANYAH  FOURTH,0,0.006535947712418301
AL THANYAH  FOURTH,1,0.032679738562091505
AL THANYAH  FOURTH,2,0.026143790849673203
AL THANYAH  FOURTH,3,0.013071895424836602
AL THANYAH  FOURTH,4,0.013071895424836602
AL THANYAH  FOURTH,5,0.006535947712418301
AL THANYAH  FOURTH,6,0.032679738562091505
AL THANYAH  FOURTH,7,0.0457516339869281
AL THANYAH  FOURTH,8,0.0915032679738562
AL THANYAH  FOURTH,9,0.1568627450980392
AL THANYAH  FOURTH,10,0.13725490196078433
AL THANYAH  FOURTH,11,0.0784313725490196
AL THANYAH  FOURTH,12,0.13071895424836602
AL THANYAH  FOURTH,13,0.19607843137254902
AL THANYAH  FOURTH,14,0.0915032679738562
AL THANYAH  FOURTH,15,0.2222222222222222
AL THANYAH  FOURTH,16,0.12418300653594772
AL THANYAH  FOURTH,17,0.12418300653594772
AL THANYAH  FOURTH,18,0.10457516339869281
AL THANYAH  FOURTH,19,0.0457516339869281
AL THANYAH  FOURTH,20,0.05228758169934641
AL THANYAH  FOURTH,21,0.0915032679738562
AL THANYAH  FOURTH,22,0.06535947712418301
AL THANYAH  FOURTH,23,0.0392156862745098
AL THANYAH FIFTH,0,0.07262569832402235
AL THANYAH FIFTH,1,0.0446927374301676
AL THANYAH FIFTH,2,0.0111731843575419
AL THANYAH FIFTH,3,0.0446927374301676
AL THANYAH FIFTH,4,0.0335195530726257
AL THANYAH FIFTH,5,0.027932960893854747
AL THANYAH FIFTH,6,0.0335195530726257
AL THANYAH FIFTH,7,0.055865921787709494
AL THANYAH FIFTH,8,0.15083798882681565
AL THANYAH FIFTH,9,0.12849162011173185
AL THANYAH FIFTH,10,0.24022346368715083
AL THANYAH FIFTH,11,0.17318435754189945
AL THANYAH FIFTH,12,0.18435754189944134
AL THANYAH FIFTH,13,0.16759776536312848
AL THANYAH FIFTH,14,0.2011173184357542
