Community,week_index,week_start,Accident_Count
AL BARSHA SOUTH FIRST,2,2024-03-13,12
AL BARSHA SOUTH FIRST,3,2024-03-20,21
AL BARSHA SOUTH FIRST,4,2024-03-27,14
AL BARSHA SOUTH FIRST,5,2024-04-03,14
AL BARSHA SOUTH FIRST,6,2024-04-10,13
AL BARSHA SOUTH FIRST,7,2024-04-17,6
AL BARSHA SOUTH FIRST,8,2024-04-24,0
AL BARSHA SOUTH FIRST,9,2024-05-01,0
AL BARSHA SOUTH FIRST,10,2024-05-08,0
AL BARSHA SOUTH FIRST,11,2024-05-15,0
AL BARSHA SOUTH FIRST,12,2024-05-22,0
AL BARSHA SOUTH FIRST,13,2024-05-29,0
AL BARSHA SOUTH FIRST,14,2024-06-05,3
AL BARSHA SOUTH FIRST,15,2024-06-12,11
AL BARSHA SOUTH FIRST,16,2024-06-19,21
AL BARSHA SOUTH FIRST,17,2024-06-26,23
AL BARSHA SOUTH FIRST,18,2024-07-03,17
AL BARSHA SOUTH FIRST,19,2024-07-10,20
AL BARSHA SOUTH FIRST,20,2024-07-17,14
AL BARSHA SOUTH FIRST,21,2024-07-24,16
AL BARSHA SOUTH FIRST,22,2024-07-31,16
AL BARSHA SOUTH FIRST,23,2024-08-07,14
AL BARSHA SOUTH FIRST,24,2024-08-14,12
AL BARSHA SOUTH FIRST,25,2024-08-21,16
AL BARSHA SOUTH FIRST,26,2024-08-28,20
AL BARSHA SOUTH FIRST,27,2024-09-04,6
AL BARSHA SOUTH FIRST,28,2024-09-11,12
AL BARSHA SOUTH FIRST,29,2024-09-18,15
AL BARSHA SOUTH FIRST,30,2024-09-25,6
AL BARSHA SOUTH FOURTH,1,2024-03-06,26
AL BARSHA SOUTH FOURTH,2,2024-03-13,27
AL BARSHA SOUTH FOURTH,3,2024-03-20,33
AL BARSHA SOUTH FOURTH,4,2024-03-27,35
AL BARSHA SOUTH FOURTH,5,2024-04-03,24
AL BARSHA SOUTH FOURTH,6,2024-04-10,25
AL BARSHA SOUTH FOURTH,7,2024-04-17,1
AL BARSHA SOUTH FOURTH,8,2024-04-24,0
AL BARSHA SOUTH FOURTH,9,2024-05-01,0
AL BARSHA SOUTH FOURTH,10,2024-05-08,0
AL BARSHA SOUTH FOURTH,11,2024-05-15,0
AL BARSHA SOUTH FOURTH,12,2024-05-22,0
AL BARSHA SOUTH FOURTH,13,2024-05-29,0
AL BARSHA SOUTH FOURTH,14,2024-06-05,4
AL BARSHA SOUTH FOURTH,15,2024-06-12,34
AL BARSHA SOUTH FOURTH,16,2024-06-19,31
AL BARSHA SOUTH FOURTH,17,2024-06-26,46
AL BARSHA SOUTH FOURTH,18,2024-07-03,37
AL BARSHA SOUTH FOURTH,19,2024-07-10,26
AL BARSHA SOUTH FOURTH,20,2024-07-17,37
AL BARSHA SOUTH FOURTH,21,2024-07-24,23
AL BARSHA SOUTH FOURTH,22,2024-07-31,35
AL BARSHA SOUTH FOURTH,23,2024-08-07,30
AL BARSHA SOUTH FOURTH,24,2024-08-14,28
AL BARSHA SOUTH FOURTH,25,2024-08-21,34
AL BARSHA SOUTH FOURTH,26,2024-08-28,35
AL BARSHA SOUTH FOURTH,27,2024-09-04,10
AL BARSHA SOUTH FOURTH,28,2024-09-11,27
AL BARSHA SOUTH FOURTH,29,2024-09-18,28
AL BARSHA SOUTH FOURTH,30,2024-09-25,5
AL BARSHA SOUTH SECOND,1,2024-03-06,7
AL BARSHA SOUTH SECOND,2,2024-03-13,10
AL BARSHA SOUTH SECOND,3,2024-03-20,6
AL BARSHA SOUTH SECOND,4,2024-03-27,1
AL BARSHA SOUTH SECOND,5,2024-04-03,4
AL BARSHA SOUTH SECOND,6,2024-04-10,6
AL BARSHA SOUTH SECOND,7,2024-04-17,0
AL BARSHA SOUTH SECOND,8,2024-04-24,0
AL BARSHA SOUTH SECOND,9,2024-05-01,0
AL BARSHA SOUTH SECOND,10,2024-05-08,0
AL BARSHA SOUTH SECOND,11,2024-05-15,0
AL BARSHA SOUTH SECOND,12,2024-05-22,0
AL BARSHA SOUTH SECOND,13,2024-05-29,0
AL BARSHA SOUTH SECOND,14,2024-06-05,2
AL BARSHA SOUTH SECOND,15,2024-06-12,8
AL BARSHA SOUTH SECOND,16,2024-06-19,7
AL BARSHA SOUTH SECOND,17,2024-06-26,6
AL BARSHA SOUTH SECOND,18,2024-07-03,4
AL BARSHA SOUTH SECOND,19,2024-07-10,3
AL BARSHA SOUTH SECOND,20,2024-07-17,4
AL BARSHA SOUTH SECOND,21,2024-07-24,3
AL BARSHA SOUTH SECOND,22,2024-07-31,7
AL BARSHA SOUTH SECOND,23,2024-08-07,2
AL BARSHA SOUTH SECOND,24,2024-08-14,9
AL BARSHA SOUTH SECOND,25,2024-08-21,6
AL BARSHA SOUTH SECOND,26,2024-08-28,5
AL BARSHA SOUTH SECOND,27,2024-09-04,0
AL BARSHA SOUTH SECOND,28,2024-09-11,2
AL BARSHA SOUTH SECOND,29,2024-09-18,8
AL BARSHA SOUTH SECOND,30,2024-09-25,1
AL BARSHA SOUTH THIRD,1,2024-03-06,12
AL BARSHA SOUTH THIRD,2,2024-03-13,9
AL BARSHA SOUTH THIRD,3,2024-03-20,8
AL BARSHA SOUTH THIRD,4,2024-03-27,6
AL BARSHA SOUTH THIRD,5,2024-04-03,10
AL BARSHA SOUTH THIRD,6,2024-04-10,8
AL BARSHA SOUTH THIRD,7,2024-04-17,1
AL BARSHA SOUTH THIRD,8,2024-04-24,0
AL BARSHA SOUTH THIRD,9,2024-05-01,0
AL BARSHA SOUTH THIRD,10,2024-05-08,0
AL BARSHA SOUTH THIRD,11,2024-05-15,0
AL BARSHA SOUTH THIRD,12,2024-05-22,0
AL BARSHA SOUTH THIRD,13,2024-05-29,0
AL BARSHA SOUTH THIRD,14,2024-06-05,3
AL BARSHA SOUTH THIRD,15,2024-06-12,18
AL BARSHA SOUTH THIRD,16,2024-06-19,26
AL BARSHA SOUTH THIRD,17,2024-06-26,11
AL BARSHA SOUTH THIRD,18,2024-07-03,10
AL BARSHA SOUTH THIRD,19,2024-07-10,21
AL BARSHA SOUTH THIRD,20,2024-07-17,9
AL BARSHA SOUTH THIRD,21,2024-07-24,19
AL BARSHA SOUTH THIRD,22,2024-07-31,12
AL BARSHA SOUTH THIRD,23,2024-08-07,15
AL BARSHA SOUTH THIRD,24,2024-08-14,11
AL BARSHA SOUTH THIRD,25,2024-08-21,16
AL BARSHA SOUTH THIRD,26,2024-08-28,12
AL BARSHA SOUTH THIRD,27,2024-09-04,1
AL BARSHA SOUTH THIRD,28,2024-09-11,3
AL BARSHA SOUTH THIRD,29,2024-09-18,13
AL BARSHA SOUTH THIRD,30,2024-09-25,4
AL BARSHA THIRD,1,2024-03-06,11
AL BARSHA THIRD,2,2024-03-13,8
AL BARSHA THIRD,3,2024-03-20,10
AL BARSHA THIRD,4,2024-03-27,18
AL BARSHA THIRD,5,2024-04-03,8
AL BARSHA THIRD,6,2024-04-10,12
AL BARSHA THIRD,7,2024-04-17,1
AL BARSHA THIRD,8,2024-04-24,0
AL BARSHA THIRD,9,2024-05-01,0
AL BARSHA THIRD,10,2024-05-08,0
AL BARSHA THIRD,11,2024-05-15,0
AL BARSHA THIRD,12,2024-05-22,0
AL BARSHA THIRD,13,2024-05-29,0
AL BARSHA THIRD,14,2024-06-05,2
AL BARSHA THIRD,15,2024-06-12,7
AL BARSHA THIRD,16,2024-06-19,14
AL BARSHA THIRD,17,2024-06-26,7
AL BARSHA THIRD,18,2024-07-03,12
AL BARSHA THIRD,19,2024-07-10,7
AL BARSHA THIRD,20,2024-07-17,9
AL BARSHA THIRD,21,2024-07-24,7
AL BARSHA THIRD,22,2024-07-31,11
AL BARSHA THIRD,23,2024-08-07,8
AL BARSHA THIRD,24,2024-08-14,10
AL BARSHA THIRD,25,2024-08-21,8
AL BARSHA THIRD,26,2024-08-28,10
AL BARSHA THIRD,27,2024-09-04,6
AL BARSHA THIRD,28,2024-09-11,6
AL BARSHA THIRD,29,2024-09-18,7
AL BARSHA THIRD,30,2024-09-25,0
AL BUTEEN,1,2024-03-06,0
AL BUTEEN,2,2024-03-13,3
AL BUTEEN,3,2024-03-20,2
AL BUTEEN,4,2024-03-27,0
AL BUTEEN,5,2024-04-03,0
AL BUTEEN,6,2024-04-10,0
AL BUTEEN,7,2024-04-17,0
AL BUTEEN,8,2024-04-24,0
AL BUTEEN,9,2024-05-01,0
AL BUTEEN,10,2024-05-08,0
AL BUTEEN,11,2024-05-15,0
AL BUTEEN,12,2024-05-22,0
AL BUTEEN,13,2024-05-29,0
AL BUTEEN,14,2024-06-05,0
AL BUTEEN,15,2024-06-12,1
AL BUTEEN,16,2024-06-19,0
AL BUTEEN,17,2024-06-26,1
AL BUTEEN,18,2024-07-03,1
AL BUTEEN,19,2024-07-10,0
AL BUTEEN,20,2024-07-17,0
AL BUTEEN,21,2024-07-24,0
AL BUTEEN,22,2024-07-31,1
AL BUTEEN,23,2024-08-07,0
AL BUTEEN,24,2024-08-14,0
AL BUTEEN,25,2024-08-21,1
AL BUTEEN,26,2024-08-28,0
AL BUTEEN,27,2024-09-04,0
AL BUTEEN,28,2024-09-11,0
AL BUTEEN,29,2024-09-18,0
AL BUTEEN,30,2024-09-25,0
AL CORNICHE,1,2024-03-06,0
AL CORNICHE,2,2024-03-13,5
AL CORNICHE,3,2024-03-20,2
AL CORNICHE,4,2024-03-27,1
AL CORNICHE,5,2024-04-03,0
AL CORNICHE,6,2024-04-10,4
AL CORNICHE,7,2024-04-17,0
AL CORNICHE,8,2024-04-24,0
AL CORNICHE,9,2024-05-01,0
AL CORNICHE,10,2024-05-08,0
AL CORNICHE,11,2024-05-15,0
AL CORNICHE,12,2024-05-22,0
AL CORNICHE,13,2024-05-29,0
